series_id,industry_code,industry_name,supersector_code,seasonal_code,datatype_code,metric,year,period,period_name,value,footnote_codes,ingested_at
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2024,M10,October,34.2,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2024,M09,September,34.3,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2024,M08,August,34.3,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2024,M07,July,34.2,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2024,M06,June,34.3,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2024,M05,May,34.3,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2024,M04,April,34.2,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2024,M03,March,34.4,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2024,M02,February,34.4,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2024,M01,January,34.2,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2023,M12,December,34.4,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2023,M11,November,34.4,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2023,M10,October,34.3,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2023,M09,September,34.4,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2023,M08,August,34.4,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2023,M07,July,34.3,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2023,M06,June,34.4,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2023,M05,May,34.4,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2023,M04,April,34.4,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2023,M03,March,34.4,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2023,M02,February,34.5,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2023,M01,January,34.6,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2022,M12,December,34.4,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2022,M11,November,34.5,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2022,M10,October,34.6,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2022,M09,September,34.6,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2022,M08,August,34.5,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2022,M07,July,34.6,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2022,M06,June,34.6,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2022,M05,May,34.6,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2022,M04,April,34.6,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2022,M03,March,34.7,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2022,M02,February,34.7,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2022,M01,January,34.5,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2021,M12,December,34.9,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2021,M11,November,34.8,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2021,M10,October,34.7,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2021,M09,September,34.8,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2021,M08,August,34.8,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2021,M07,July,34.8,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2021,M06,June,34.8,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2021,M05,May,34.9,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2021,M04,April,34.9,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2021,M03,March,34.9,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2021,M02,February,34.6,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2021,M01,January,35.0,,2026-08-25 14:48:41.372731
CES0500000003,05000000,Total private,05,S,03,avg_hourly_earnings,2026,M07,July,37.62,P,2026-08-25 14:48:41.372731
CES0500000003,05000000,Total private,05,S,03,avg_hourly_earnings,2026,M06,June,37.6,P,2026-08-25 14:48:41.372731
CES0500000003,05000000,Total private,05,S,03,avg_hourly_earnings,2026,M05,May,37.49,,2026-08-25 14:48:41.372731
CES0500000003,05000000,Total private,05,S,03,avg_hourly_earnings,2026,M04,April,37.41,,2026-08-25 14:48:41.372731
