series_id,area_code,area_name,area_type,occupation_code,occupation_title,datatype_code,metric,year,period,value,footnote_codes,ingested_at
OEUM003108000000011202113,31080,"Los Angeles-Long Beach-Anaheim, CA",M,112021,Marketing Managers,13,annual_median_wage,2025,A01,171900.0,,2026-08-25 13:40:00.180732
OEUM003108000000011202103,31080,"Los Angeles-Long Beach-Anaheim, CA",M,112021,Marketing Managers,03,hourly_mean_wage,2025,A01,92.98,,2026-08-25 13:40:00.180732
OEUM003108000000011202108,31080,"Los Angeles-Long Beach-Anaheim, CA",M,112021,Marketing Managers,08,hourly_median_wage,2025,A01,82.64,,2026-08-25 13:40:00.180732
OEUM003108000000013111101,31080,"Los Angeles-Long Beach-Anaheim, CA",M,131111,Management Analysts,01,employment,2025,A01,37060.0,,2026-08-25 13:40:00.180732
OEUM003108000000013111104,31080,"Los Angeles-Long Beach-Anaheim, CA",M,131111,Management Analysts,04,annual_mean_wage,2025,A01,121700.0,,2026-08-25 13:40:00.180732
OEUM003108000000013111113,31080,"Los Angeles-Long Beach-Anaheim, CA",M,131111,Management Analysts,13,annual_median_wage,2025,A01,104930.0,,2026-08-25 13:40:00.180732
OEUM003108000000013111103,31080,"Los Angeles-Long Beach-Anaheim, CA",M,131111,Management Analysts,03,hourly_mean_wage,2025,A01,58.51,,2026-08-25 13:40:00.180732
OEUM003108000000013111108,31080,"Los Angeles-Long Beach-Anaheim, CA",M,131111,Management Analysts,08,hourly_median_wage,2025,A01,50.45,,2026-08-25 13:40:00.180732
OEUM003108000000029206101,31080,"Los Angeles-Long Beach-Anaheim, CA",M,292061,Licensed Practical and Licensed Vocational Nurses,01,employment,2025,A01,33590.0,,2026-08-25 13:40:00.180732
OEUM003108000000029206104,31080,"Los Angeles-Long Beach-Anaheim, CA",M,292061,Licensed Practical and Licensed Vocational Nurses,04,annual_mean_wage,2025,A01,80810.0,,2026-08-25 13:40:00.180732
OEUM003108000000029206113,31080,"Los Angeles-Long Beach-Anaheim, CA",M,292061,Licensed Practical and Licensed Vocational Nurses,13,annual_median_wage,2025,A01,79310.0,,2026-08-25 13:40:00.180732
OEUM003108000000029206103,31080,"Los Angeles-Long Beach-Anaheim, CA",M,292061,Licensed Practical and Licensed Vocational Nurses,03,hourly_mean_wage,2025,A01,38.85,,2026-08-25 13:40:00.180732
OEUM003108000000029206108,31080,"Los Angeles-Long Beach-Anaheim, CA",M,292061,Licensed Practical and Licensed Vocational Nurses,08,hourly_median_wage,2025,A01,38.13,,2026-08-25 13:40:00.180732
OEUM003108000000025119401,31080,"Los Angeles-Long Beach-Anaheim, CA",M,251194,"Career/Technical Education Teachers, Postsecondary",01,employment,2025,A01,3670.0,,2026-08-25 13:40:00.180732
OEUM003108000000025119404,31080,"Los Angeles-Long Beach-Anaheim, CA",M,251194,"Career/Technical Education Teachers, Postsecondary",04,annual_mean_wage,2025,A01,89480.0,,2026-08-25 13:40:00.180732
OEUM003108000000025119413,31080,"Los Angeles-Long Beach-Anaheim, CA",M,251194,"Career/Technical Education Teachers, Postsecondary",13,annual_median_wage,2025,A01,75450.0,,2026-08-25 13:40:00.180732
OEUM003108000000025119403,31080,"Los Angeles-Long Beach-Anaheim, CA",M,251194,"Career/Technical Education Teachers, Postsecondary",03,hourly_mean_wage,2025,A01,43.02,,2026-08-25 13:40:00.180732
OEUM003108000000025119408,31080,"Los Angeles-Long Beach-Anaheim, CA",M,251194,"Career/Technical Education Teachers, Postsecondary",08,hourly_median_wage,2025,A01,36.27,,2026-08-25 13:40:00.180732
OEUM003108000000041302101,31080,"Los Angeles-Long Beach-Anaheim, CA",M,413021,Insurance Sales Agents,01,employment,2025,A01,14680.0,,2026-08-25 13:40:00.180732
OEUM003108000000041302104,31080,"Los Angeles-Long Beach-Anaheim, CA",M,413021,Insurance Sales Agents,04,annual_mean_wage,2025,A01,95480.0,,2026-08-25 13:40:00.180732
OEUM003108000000041302113,31080,"Los Angeles-Long Beach-Anaheim, CA",M,413021,Insurance Sales Agents,13,annual_median_wage,2025,A01,76870.0,,2026-08-25 13:40:00.180732
OEUM003108000000041302103,31080,"Los Angeles-Long Beach-Anaheim, CA",M,413021,Insurance Sales Agents,03,hourly_mean_wage,2025,A01,45.91,,2026-08-25 13:40:00.180732
OEUM003108000000041302108,31080,"Los Angeles-Long Beach-Anaheim, CA",M,413021,Insurance Sales Agents,08,hourly_median_wage,2025,A01,36.96,,2026-08-25 13:40:00.180732
OEUM003108000000043601401,31080,"Los Angeles-Long Beach-Anaheim, CA",M,436014,Secretaries and Administrative Assistants,01,employment,2025,A01,58800.0,,2026-08-25 13:40:00.180732
OEUM003108000000043601404,31080,"Los Angeles-Long Beach-Anaheim, CA",M,436014,Secretaries and Administrative Assistants,04,annual_mean_wage,2025,A01,56320.0,,2026-08-25 13:40:00.180732
OEUM003108000000043601413,31080,"Los Angeles-Long Beach-Anaheim, CA",M,436014,Secretaries and Administrative Assistants,13,annual_median_wage,2025,A01,53550.0,,2026-08-25 13:40:00.180732
OEUM003108000000043601403,31080,"Los Angeles-Long Beach-Anaheim, CA",M,436014,Secretaries and Administrative Assistants,03,hourly_mean_wage,2025,A01,27.08,,2026-08-25 13:40:00.180732
OEUM003108000000043601408,31080,"Los Angeles-Long Beach-Anaheim, CA",M,436014,Secretaries and Administrative Assistants,08,hourly_median_wage,2025,A01,25.75,,2026-08-25 13:40:00.180732
OEUM001698000000000000001,16980,"Chicago-Naperville-Elgin, IL-IN-WI",M,000000,All occupations,01,employment,2025,A01,4513280.0,,2026-08-25 13:40:00.180732
OEUM001698000000000000004,16980,"Chicago-Naperville-Elgin, IL-IN-WI",M,000000,All occupations,04,annual_mean_wage,2025,A01,73380.0,,2026-08-25 13:40:00.180732
OEUM001698000000000000013,16980,"Chicago-Naperville-Elgin, IL-IN-WI",M,000000,All occupations,13,annual_median_wage,2025,A01,54720.0,,2026-08-25 13:40:00.180732
OEUM001698000000000000003,16980,"Chicago-Naperville-Elgin, IL-IN-WI",M,000000,All occupations,03,hourly_mean_wage,2025,A01,35.28,,2026-08-25 13:40:00.180732
OEUM001698000000000000008,16980,"Chicago-Naperville-Elgin, IL-IN-WI",M,000000,All occupations,08,hourly_median_wage,2025,A01,26.31,,2026-08-25 13:40:00.180732
OEUM001698000000015125201,16980,"Chicago-Naperville-Elgin, IL-IN-WI",M,151252,Software Developers,01,employment,2025,A01,40370.0,,2026-08-25 13:40:00.180732
OEUM001698000000015125204,16980,"Chicago-Naperville-Elgin, IL-IN-WI",M,151252,Software Developers,04,annual_mean_wage,2025,A01,141640.0,,2026-08-25 13:40:00.180732
OEUM001698000000015125213,16980,"Chicago-Naperville-Elgin, IL-IN-WI",M,151252,Software Developers,13,annual_median_wage,2025,A01,134380.0,,2026-08-25 13:40:00.180732
OEUM001698000000015125203,16980,"Chicago-Naperville-Elgin, IL-IN-WI",M,151252,Software Developers,03,hourly_mean_wage,2025,A01,68.1,,2026-08-25 13:40:00.180732
