area,area_title,occ_code,occ_title,o_group,tot_emp,a_mean,a_median,a_pct10,a_pct25,a_pct75,a_pct90,year
99,U.S.,17-3025,Environmental Engineering Technologists and Technicians,detailed,18010.0,54740.0,50620.0,32610.0,38780.0,64890.0,82930.0,2019
99,U.S.,17-3026,Industrial Engineering Technologists and Technicians,detailed,67110.0,59400.0,56550.0,35850.0,44440.0,71220.0,87790.0,2019
99,U.S.,17-3027,Mechanical Engineering Technologists and Technicians,detailed,42820.0,59160.0,56980.0,35140.0,44170.0,72140.0,88640.0,2019
99,U.S.,17-3031,Surveying and Mapping Technicians,detailed,53030.0,48500.0,45010.0,28410.0,34960.0,59070.0,75190.0,2019
99,U.S.,17-3098,"Calibration Technologists and Technicians and Engineering Technologists and Technicians, Except Drafters, All Other",detailed,88330.0,65940.0,62990.0,35960.0,47370.0,80660.0,99790.0,2019
99,U.S.,19-1011,Animal Scientists,detailed,2690.0,68570.0,60300.0,38260.0,47130.0,80830.0,111740.0,2019
99,U.S.,19-1012,Food Scientists and Technologists,detailed,13460.0,76190.0,68970.0,40360.0,52790.0,94800.0,124660.0,2019
99,U.S.,19-1013,Soil and Plant Scientists,detailed,14150.0,69860.0,63200.0,38410.0,49630.0,82420.0,111480.0,2019
99,U.S.,19-1021,Biochemists and Biophysicists,detailed,31360.0,108180.0,94490.0,50620.0,66550.0,132200.0,182870.0,2019
99,U.S.,19-1022,Microbiologists,detailed,18270.0,82760.0,75650.0,43500.0,54760.0,108390.0,133280.0,2019
99,U.S.,19-1023,Zoologists and Wildlife Biologists,detailed,19250.0,67200.0,63270.0,38880.0,49860.0,79000.0,101780.0,2019
99,U.S.,19-1029,"Biological Scientists, All Other",detailed,40100.0,87590.0,82220.0,48670.0,63360.0,101000.0,133080.0,2019
99,U.S.,19-1031,Conservation Scientists,detailed,22070.0,67040.0,62660.0,39270.0,49480.0,79630.0,98060.0,2019
99,U.S.,19-1032,Foresters,detailed,9510.0,63270.0,61790.0,38890.0,49300.0,74400.0,90080.0,2019
99,U.S.,19-1041,Epidemiologists,detailed,7410.0,78290.0,70990.0,44000.0,56220.0,92600.0,119290.0,2019
99,U.S.,19-1042,"Medical Scientists, Except Epidemiologists",detailed,127180.0,98770.0,88790.0,49020.0,61920.0,121850.0,159680.0,2019
99,U.S.,19-1099,"Life Scientists, All Other",detailed,6450.0,85890.0,75910.0,39380.0,53780.0,104340.0,145510.0,2019
99,U.S.,19-2011,Astronomers,detailed,2070.0,122270.0,114590.0,59420.0,79010.0,160650.0,185780.0,2019
99,U.S.,19-2012,Physicists,detailed,16730.0,131080.0,122850.0,62470.0,88670.0,164210.0,201990.0,2019
99,U.S.,19-2021,Atmospheric and Space Scientists,detailed,9290.0,97160.0,95380.0,49700.0,70050.0,119110.0,147160.0,2019
99,U.S.,19-2031,Chemists,detailed,83530.0,84150.0,77630.0,44460.0,57090.0,104670.0,133690.0,2019
99,U.S.,19-2032,Materials Scientists,detailed,6710.0,100430.0,96810.0,51950.0,69060.0,126310.0,157780.0,2019
99,U.S.,19-2041,"Environmental Scientists and Specialists, Including Health",detailed,84290.0,77940.0,71360.0,42810.0,54100.0,95140.0,124760.0,2019
99,U.S.,19-2042,"Geoscientists, Except Hydrologists and Geographers",detailed,29200.0,108350.0,92040.0,51000.0,65180.0,130870.0,187910.0,2019
99,U.S.,19-2043,Hydrologists,detailed,6440.0,86330.0,81270.0,51220.0,63650.0,104280.0,127400.0,2019
99,U.S.,19-2099,"Physical Scientists, All Other",detailed,17550.0,112070.0,109910.0,51680.0,77460.0,139300.0,165270.0,2019
99,U.S.,19-3011,Economists,detailed,19000.0,116630.0,105020.0,59450.0,78800.0,143620.0,185020.0,2019
99,U.S.,19-3022,Survey Researchers,detailed,9930.0,65760.0,59170.0,32150.0,43030.0,79920.0,108860.0,2019
99,U.S.,19-3031,"Clinical, Counseling, and School Psychologists",detailed,113270.0,87450.0,78200.0,45240.0,59590.0,102470.0,132670.0,2019
99,U.S.,19-3032,Industrial-Organizational Psychologists,detailed,630.0,111150.0,92880.0,51080.0,61380.0,148170.0,197700.0,2019
99,U.S.,19-3039,"Psychologists, All Other",detailed,14220.0,98230.0,101790.0,46100.0,75740.0,114870.0,129530.0,2019
99,U.S.,19-3041,Sociologists,detailed,2630.0,90590.0,83420.0,46920.0,62460.0,108500.0,141770.0,2019
99,U.S.,19-3051,Urban and Regional Planners,detailed,38560.0,77750.0,74350.0,45850.0,57960.0,94000.0,116280.0,2019
99,U.S.,19-3091,Anthropologists and Archeologists,detailed,6720.0,66810.0,63670.0,39460.0,49760.0,81480.0,97950.0,2019
99,U.S.,19-3092,Geographers,detailed,1400.0,81970.0,81540.0,52280.0,63300.0,97620.0,113140.0,2019
99,U.S.,19-3093,Historians,detailed,3040.0,68690.0,63680.0,29760.0,41880.0,89550.0,114810.0,2019
99,U.S.,19-3094,Political Scientists,detailed,6010.0,120260.0,122220.0,60960.0,87990.0,148960.0,164210.0,2019
99,U.S.,19-3099,"Social Scientists and Related Workers, All Other",detailed,33690.0,87690.0,83330.0,52820.0,66480.0,105320.0,126070.0,2019
99,U.S.,19-4010,Agricultural and Food Science Technicians,detailed,21870.0,44440.0,41230.0,28030.0,33820.0,51360.0,64180.0,2019
99,U.S.,19-4021,Biological Technicians,detailed,79530.0,49110.0,45860.0,29540.0,35870.0,59210.0,73350.0,2019
99,U.S.,19-4031,Chemical Technicians,detailed,65760.0,52910.0,49260.0,31110.0,37700.0,64200.0,80350.0,2019
99,U.S.,19-4042,"Environmental Science and Protection Technicians, Including Health",detailed,32620.0,50760.0,46540.0,29040.0,35910.0,61030.0,80710.0,2019
99,U.S.,19-4045,Geological and Hydrologic Technicians,detailed,17110.0,60800.0,51130.0,28530.0,36470.0,74320.0,104660.0,2019
99,U.S.,19-4051,Nuclear Technicians,detailed,6420.0,82710.0,82080.0,52860.0,64140.0,98430.0,117480.0,2019
99,U.S.,19-4061,Social Science Research Assistants,detailed,35580.0,51340.0,47510.0,28190.0,36840.0,61050.0,78800.0,2019
